Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked
0,3,10,1,0,7.25,30
1,1,20,1,0,71.2833,10
1,3,20,0,0,7.925,30
1,1,20,1,0,53.1,30
0,3,10,0,0,8.05,30
0,3,10,0,0,8.4583,20
0,1,10,0,0,51.8625,30
0,3,10,3,1,21.075,30
1,3,20,0,2,11.1333,30
1,2,20,1,0,30.0708,10
1,3,20,1,1,16.7,30
1,1,20,0,0,26.55,30
0,3,10,0,0,8.05,30
0,3,10,1,5,31.275,30
0,3,20,0,0,7.8542,30
1,2,20,0,0,16,30
0,3,10,4,1,29.125,20
1,2,10,0,0,13,30
0,3,20,1,0,18,30
1,3,20,0,0,7.225,10
0,2,10,0,0,26,30
1,2,10,0,0,13,30
1,3,20,0,0,8.0292,20
1,1,10,0,0,35.5,30
0,3,20,3,1,21.075,30
1,3,20,1,5,31.3875,30
0,3,10,0,0,7.225,10
0,1,10,3,2,263,30
1,3,20,0,0,7.8792,20
0,3,10,0,0,7.8958,30
0,1,10,0,0,27.7208,10
1,1,20,1,0,146.5208,10
1,3,20,0,0,7.75,20
0,2,10,0,0,10.5,30
0,1,10,1,0,82.1708,10
0,1,10,1,0,52,30
1,3,10,0,0,7.2292,10
0,3,10,0,0,8.05,30
0,3,20,2,0,18,30
1,3,20,1,0,11.2417,10
0,3,20,1,0,9.475,30
0,2,20,1,0,21,30
0,3,10,0,0,7.8958,10
1,2,20,1,2,41.5792,10
1,3,20,0,0,7.8792,20
0,3,10,0,0,8.05,30
0,3,10,1,0,15.5,20
1,3,20,0,0,7.75,20
0,3,10,2,0,21.6792,10
0,3,20,1,0,17.8,30
0,3,10,4,1,39.6875,30
0,3,10,0,0,7.8,30
1,1,20,1,0,76.7292,10
1,2,20,1,0,26,30
0,1,10,0,1,61.9792,10
1,1,10,0,0,35.5,30
1,2,20,0,0,10.5,30
0,3,10,0,0,7.2292,10
1,2,20,1,2,27.75,30
0,3,10,5,2,46.9,30
0,3,10,0,0,7.2292,10
1,1,20,0,0,80,
0,1,10,1,0,83.475,30
0,3,10,3,2,27.9,30
0,1,10,0,0,27.7208,10
1,3,10,1,1,15.2458,10
1,2,20,0,0,10.5,30
0,3,10,0,0,8.1583,30
1,3,20,4,2,7.925,30
0,3,10,2,0,8.6625,30
0,2,10,0,0,10.5,30
0,3,20,5,2,46.9,30
0,2,10,0,0,73.5,30
0,3,10,1,0,14.4542,10
1,3,10,0,0,56.4958,30
0,3,10,0,0,7.65,30
0,3,10,0,0,7.8958,30
0,3,10,0,0,8.05,30
1,2,10,0,2,29,30
1,3,20,0,0,12.475,30
0,3,10,0,0,9,30
1,3,10,0,0,9.5,30
1,3,20,0,0,7.7875,20
0,1,10,0,0,47.1,30
1,2,20,0,0,10.5,30
1,3,20,3,0,15.85,30
0,3,10,1,3,34.375,30
0,3,10,0,0,8.05,30
1,1,20,3,2,263,30
0,3,10,0,0,8.05,30
0,3,10,0,0,8.05,30
0,3,10,0,0,7.8542,30
0,1,10,1,0,61.175,30
0,3,10,1,2,20.575,30
0,3,10,0,0,7.25,30
0,3,10,0,0,8.05,30
0,1,10,0,0,34.6542,10
1,1,10,0,1,63.3583,10
1,2,20,0,1,23,30
0,2,10,1,0,26,30
0,3,20,0,0,7.8958,30
0,3,10,0,0,7.8958,30
0,1,10,0,1,77.2875,30
0,3,10,0,0,8.6542,30
0,3,10,2,0,7.925,30
0,3,10,0,0,7.8958,30
1,3,20,0,0,7.65,30
1,3,10,0,0,7.775,30
0,3,10,0,0,7.8958,30
1,3,20,1,0,24.15,20
0,1,10,0,0,52,30
0,3,20,1,0,14.4542,10
0,3,10,0,0,8.05,30
0,3,20,1,0,9.825,30
0,3,20,0,0,14.4583,10
0,3,10,0,0,7.925,30
0,3,10,0,0,7.75,20
0,2,10,1,0,21,30
0,1,10,0,1,247.5208,10
0,3,20,4,2,31.275,30
0,2,10,2,0,73.5,30
0,3,10,0,0,8.05,30
0,2,10,1,0,30.0708,10
1,2,20,0,0,13,30
0,1,10,0,1,77.2875,30
1,3,10,1,0,11.2417,10
0,3,10,0,0,7.75,20
1,3,10,0,0,7.1417,30
1,3,20,1,1,22.3583,10
0,3,10,0,0,6.975,30
0,3,10,0,0,7.8958,10
0,3,10,0,0,7.05,30
0,3,20,1,0,14.5,30
1,2,20,1,0,26,30
0,2,10,0,0,13,30
0,2,10,0,0,15.0458,10
1,1,20,0,2,26.2833,30
0,1,10,1,0,53.1,30
0,3,10,0,0,9.2167,30
0,1,10,0,0,79.2,10
0,3,20,0,2,15.2458,10
1,3,20,0,0,7.75,30
1,3,20,1,0,15.85,30
0,3,10,0,0,6.75,20
0,2,10,0,0,11.5,30
0,2,10,1,1,36.75,30
1,3,10,0,0,7.7958,30
0,3,20,2,2,34.375,30
0,2,10,0,2,26,30
0,2,10,0,0,13,30
0,2,10,0,0,12.525,30
1,1,20,1,0,66.6,30
0,3,10,0,0,8.05,30
0,3,10,0,2,14.5,30
0,3,10,0,0,7.3125,30
0,1,10,0,1,61.3792,10
1,3,20,0,0,7.7333,20
0,3,10,0,0,8.05,30
0,3,10,0,0,8.6625,30
0,3,10,8,2,69.55,30
0,3,10,0,1,16.1,30
1,2,20,0,0,15.75,30
0,3,10,0,0,7.775,30
0,3,10,0,0,8.6625,30
0,3,10,4,1,39.6875,30
1,3,10,0,2,20.525,30
1,1,20,0,1,55,30
0,3,20,1,4,27.9,30
0,1,10,0,0,25.925,30
0,3,10,0,0,56.4958,30
0,1,10,0,0,33.5,30
0,3,10,4,1,29.125,20
1,3,20,1,1,11.1333,30
0,3,10,0,0,7.925,30
0,1,10,0,0,30.6958,10
0,3,10,1,1,7.8542,30
0,3,10,3,1,25.4667,30
0,1,20,0,0,28.7125,10
0,2,10,0,0,13,30
0,3,10,0,0,0,30
0,3,20,8,2,69.55,30
0,2,10,0,0,15.05,10
0,3,10,4,2,31.3875,30
1,2,10,2,1,39,30
1,3,20,0,2,22.025,30
0,1,10,0,0,50,30
1,3,20,1,0,15.5,20
1,1,10,0,0,26.55,30
0,3,10,1,1,15.5,20
0,3,10,0,0,7.8958,30
1,2,20,0,0,13,30
0,2,10,0,0,13,30
1,3,20,1,0,7.8542,30
1,2,10,1,1,26,30
1,1,20,0,0,27.7208,10
